Category,Message
0,know! grumpy old people mom like better lying always one play joke
0,dont worry guess he busy
0,plural noun research?
0,going dinnermsg
0,im ok wif co like 2 try new thing scared u dun like mah co u said loud
1,gent! trying contact last weekend draw show £1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened?
0,entered cabin pa said happy bday bos !! felt special askd 4 lunch lunch invited apartment went
1,winner u specially selected 2 receive £1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
0,goodo! yes must speak friday eggpotato ratio tortilla needed!
0,hmmmy uncle informed he paying school directly pls buy food
1,private! 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
1,urgent! mobile awarded £2000 bonus caller prize 5903 final try contact u! call landline 09064019788 box42wr29c 150ppm
0,new address applespairsall malarky
1,today voda number ending 7548 selected receive $350 award match please call 08712300220 quoting claim code 4041 standard rate app
0,going sao mu today done 12
0,predict wat time finish buying?
0,good stuff
0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
0,room
0,hey girl r u? hope u r well del r bak! long time c! give call sum time lucyxx
0,kkhow much cost?
0,im home
0,dear call tmorrowpls accomodate
0,first answer question
1,sunshine quiz wkly q! win top sony dvd player u know country algarve in? txt ansr 82277 £150 sptyrone
1,want 2 get laid tonight? want real dogging location sent direct 2 ur mob? join uk largest dogging network bt txting gravel 69888! nt ec2a 31pmsg150p
0,haf msn yijuehotmailcom
0,call meet
0,check room befor activity
1,youll rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
0,got c lazy type forgot lect saw pouch like v nice
0,k text youre way
0,sir waiting mail
0,swt thought nver get tired little thing 4 lovable person cozsomtimes little thing occupy biggest part heart gud ni8
0,know pls open back?
0,yes see ya dot
0,whats staff name taking class us?
1,freemsg havent replied text? im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
0,ummmawill call check inour life begin qatar pls pray hard
0,ki deleted contact why?
0,sindu got job birla soft
0,wine flowing im nevering
0,yup thk cine better co need 2 go 2 plaza mah
0,ok ur typical reply
0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
0,aaooooright work?
0,im leaving house
0,hello love doing? get interview today? happy? good boy? think me?are missing ?
1,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery
1,winner u specially selected 2 receive £1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
0,keep safe need miss already envy everyone see real life
0,new car house parentsi new job hand
0,im love im excited day spend make happy
1,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop? send stop frnd 62468
1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
0,place ur point e culture module already
1,urgent! trying contact last weekend draw show £900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
0,hi frnd best way avoid missunderstding wit beloved ones?
0,great escape fancy bridge need lager see tomo
0,yes completely formclark also utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
0,time coming later?
0,bloody hell cant believe forgot surname mr ill give u clue spanish begin
0,well im gonna finish bath goodfine night
0,let know youve got money carlos make call
0,u still going mall?
0,turn friend staying whole show wont back til ltgt feel free go ahead smoke $ ltgt worth
0,text doesnt reply let know log
0,hi! spoke maneesha v wed like know satisfied experience reply toll free yes
0,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guy close?
0,going nothing greatbye
0,hello handsome ! finding job ? lazy ? working towards getting back net mummy ? wheres boytoy ? miss ?
0,haha awesome minute
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize!
0,got xmas radio time get
0,jus reached home go bathe first si using net tell u finish k
1,unique enough? find 30th august wwwareyouuniquecouk
0,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
0,hi finally completed course
0,stop however suggest stay someone able give or every stool
0,doing? hope youve settled new school year wishin gr8 day
0,gud mrng dear hav nice day
0,u got person story
0,hamster dead? hey tmr meet 1pm orchard mrt?
0,hi kate evening? hope see tomorrow bit bloody babyjontet! txt back u xxx
0,found enc ltgt at?
0,sent ltgt buck
0,hello darlin ive finished college txt u finish u love kate xxx
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt
0,goodmorning sleeping ga
0,u call alter 11 ok
0,say like dat dun buy ericsson oso cannot oredi lar
0,entered cabin pa said happy bday bos !! felt special askd 4 lunch lunch invited apartment went
0,aight yo dat straight dogg
0,please give u connection today ltdecimalgt refund bill
0,shoot big load get ready!
0,whats bruv hope great break rewarding semester
0,home always chat
0,kkgoodstudy well
0,yup noe leh
0,sound great! home now?
0,finally match heading towards draw prediction
0,tired havent slept well past night
0,easy ah?sen got selected mean good
0,take exam march 3
0,yeah think use gt atm register sure there anyway help let know sure ready
0,ok prob take ur time
0,o called ubandu run without installing hard diskyou use o copy important file system give repair shop
0,sorry ill call later
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,500 new mobile 2004 must go! txt nokia 89545 collect today!from £1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,would really appreciate call need someone talk
1,u meet ur dream partner soon? ur career 2 flyng start? 2 find free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
0,dear good morning
0,get gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear going rubber place
0,sorry battery died yeah im
0,yeshere tv always available work place
1,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recdthirtyeight penny
0,printed oh ltgt come upstairs
0,ill little closer like bus stop street
0,you?when wil reach here?
0,new theory argument win situation loses person dont argue ur friend kick amp say im always correct!
1,u 447801259231 secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094597
0,tomarrow final hearing laptop case cant
0,pleassssssseeeeee tel v avent done sportsx
0,okay shining meant signing sound better
0,although told u dat im baig face watch really like e watch u gave co fr u thanx 4 everything dat uve done today im touched
0,u dont remember old commercial?
0,late said website didnt dont slipper
0,asked call ok
0,kallis wont bat 2nd inning
0,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep
1,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16
0,ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv! kettoda manda nice day da
0,doing?how you?
0,ups 3days also shipping company take 2wks way usps take week get lag may bribe nipost get stuff
0,im back lemme know youre ready
0,dont necessarily expect done get back though im headin
0,mmm yummy babe nice jolt suzy
0,lover ? need
1,tried contact reply offer video handset? 750 anytime network mins? unlimited text? camcorder? reply call 08000930705
0,im parked next mini!!!! coming today think?
0,yup
0,anyway im going shopping co si done yet dun disturb u liao
0,luton 0125698789 ring ur around! h
1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698
0,dint come u
0,wana plan trip sometme
0,sure yet still trying get hold
1,ur ringtone service changed! 25 free credits! go club4mobilescom choose content now! stop? txt club stop 87070 150pwk club4 po box1146 mk45 2wt
0,evo download flash jealous?
1,ringtone club get uk single chart mobile week choose top quality ringtone! message free charge
0,come mu sorting narcotic situation
0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
1,hmv bonus special 500 pound genuine hmv voucher answer 4 easy question play now! send hmv 86688 infowww100percentrealcom
0,usf guess might well take 1 car
0,objection bf coming
0,thanx
0,tell rob mack gf theater
0,awesome ill see bit
0,sent type food like?
0,done? handed in? celebration full swing yet?
0,got called tool?
0,wen u miss someone person definitely special u person special miss keepintouch gdeve
0,ok asked money far
0,okie
0,yeah think usual guy still passed last night get ahold anybody let know ill throw
0,k might come tonight class let early
0,ok
0,hi baby im cruisin girl friend r u 2? give call hour home thats alright fone fone love jenny xxx
0,life mean lot love life love people life world call friend call world ge
0,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense
0,hey told name gautham ah?
0,haf u found him? feel stupid da v cam working
0,oops 4 got bit
0,much buzy
0,accidentally deleted message resend please
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680offer end 28thfebtcs apply
0,unless situation go gurl would appropriate
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pls send message
0,need coffee run tomo?cant believe time week already
0,awesome remember last time got somebody high first time diesel v
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi?
0,oh way food fridge! want go meal tonight?
0,womdarfull actor
1,sm ac blind date 4u! rodds1 21m aberdeen united kingdom check httpimg sm acwicmb3cktz8r7!4 blind date send hide
0,yup remb think book
0,jos ask u wana meet up?
0,lol yes friendship hanging thread cause u wont buy stuff
1,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap 82468
0,garage keys? arent bookshelf
0,today accept dayu accept as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
1,think ur smart ? win £200 week weekly quiz text play 85222 now!tcs winnersclub po box 84 m26 3uz 16 gbp150week
0,say hell give call friend got money he definitely buying end week
0,hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lost
0,made day great day
0,kkadvance happy pongal
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friend im afraid
1,december only! mobile 11mths? entitled update latest colour camera mobile free! call mobile update co free 08002986906
0,coffee cake guess
0,merry christmas babe love ya kiss
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x
0,would great well guild could meet bristol road somewhere get touch weekend plan take flight! good week
0,problem doing?
0,callsmessagesmissed call
0,hi dahow today class?
0,id say thats good sign well know track record reading woman
0,cool text youre parked
0,im reading text sent meant joke read light
0,kkapo kgood movie
0,maybe could get book tomo return immediately ? something
1,call germany 1 penny per minute! call fixed line via access number 0844 861 85 85 prepayment direct access!
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
1,valentine day special! win £1000 quiz take partner trip lifetime! send go 83600 150pmsg rcvd custcare08718720201
0,tadaaaaa! home babe still ?
0,cool come havent wined dined before?
0,sleepingand surfing
0,sorry ill call later
0,u calling right? call hand phone
0,ok thats great thanx lot
0,take post come then! must 1000 text now! happy reading one wiv hello caroline end favourite bless
0,u hiding stranger?
0,interested like
0,sister cleared two round birla soft yesterday
0,gudnitetcpractice going
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,one small prestige problem
1,fancy shag? dointerested? sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x
0,checking really miss seeing jeremiah great month
0,nah cant help ive never iphone
0,youre car hour half im going apeshit
0,today sorry day! ever angry ever misbehaved hurt you? plz plz slap urself bcoz ur fault im basically good
0,yo guy ever figure much need alcohol? jay trying figure much safely spend weed
0,ltgt ish minute 5 minute ago wtf
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer
1,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16
1,ur cashbalance currently 500 pound maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl
0,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday
0,hello! got st andrewsboy long way! cold keep posted
0,ha ha cool cool chikku chikkudb
0,oh ok prob
0,check audreys status right
0,busy trying finish new year looking forward finally meeting
0,good afternoon sunshine! dawn day ? refreshed happy alive? breathe air smile ? think love always
0,well know z take care worry
1,updatenow xmas offer! latest motorola sonyericsson nokia free bluetooth! double min 1000 txt orange call mobileupd8 08000839402 call2optoutf4q
1,discount code rp176781 stop message reply stop wwwregalportfoliocouk customer service 08717205546
0,wat uniform? get?
0,cool text youre ready
0,hello boytoy geeee miss already woke wish bed cuddling love
0,spoil bed well
0,im going bath msg next ltgt min
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
1,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer service 09057039994
0,say happen
0,could seen mei didt recognise face
0,well there lot thing happening lindsay new year sigh bar ptbo blue heron something going
0,keep payasam rinu brings
0,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
0,guess thats worried must know there way body repair im quite sure shouldnt worry well take slow first test guide ovulation relax nothing youve said reason worry ill keep followin
0,yeah sure give couple minute track wallet
0,hey leave big deal take care
0,hey late ah meet 945
1,double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx
0,took mr owl 3 lick
0,customer place call
0,mm time dont like fun
1,4mths half price orange line rental latest camera phone 4 free phone 11mths ? call mobilesdirect free 08000938767 update now! or2stoptxt
0,yup lunch buffet u eat already?
0,huh late fr dinner?
0,hey sat going intro pilate only? kickboxing too?
0,morning ok
0,yes think office lap room think thats last day didnt shut
0,pick bout 730ish? time going?
0,performance award calculated every two monthnot current one month period
0,actually sleeping still might u call back text gr8 rock si send u text wen wake
0,always putting business put picture as facebook one open people ive ever met would think picture room would hurt make feel violated
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
0,hmmmkbut want change field quickly dai wanna get system administrator network administrator
1,free ringtone text first 87131 poly text get 87131 true tone! help? 0845 2814032 16 1st free tone 3x£150pw e£nd txt stop
0,dear chechi talk
0,hair cream shipped
0,none thats happening til get though
0,yep great loxahatchee xmas tree burning ltgt start hour
0,haha get used driving usf man know lot stoner
0,well slightly disastrous class pm fav darlings! hope day ok coffee wld good cant stay late tomorrow time place always?
0,hello! good week? fancy drink something later?
0,headin towards busetop
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
0,come room point iron plan weekend
0,co want thing
0,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendy
1,100 dating service call 09064012103 box334sk38ch
0,whatsup dont u want sleep
0,alright new goal
1,free entry £250 weekly competition text word win 80086 18 tc wwwtxttowincouk
0,alright ill head minute text meet
1,send logo 2 ur lover 2 name joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo! pobox36504w45wq txtno 4 ad 150p
0,yesfrom last week im taking live call
1,someone contacted dating service entered phone fancy you! find call landline 09111032124 pobox12n146tf150p
0,siva hostel aha
1,urgent! mobile number awarded £2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs
0,send ur friend receive something ur voice speaking expression? 1childish 2naughty 3sentiment 4rowdy 5ful attitude 6romantic 7shy 8attractive 9funny ltgt irritating ltgt lovable reply
0,ok shell ok guess
0,aathiwhere dear
0,pain urination thing else?
0,7 esplanade mind giving lift co got car today
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
0,home watching tv lor
0,usually take fifteen fucking minute respond yes question
1,congrats! nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx
0,booked ticket pongal?
0,available now? im like right around hillsborough amp ltgt th
0,message sent askin ltgt dollar shoul pay ltgt ltgt ?
0,ask g iouri ive told story like ten time already
0,long applebees fucking take
0,hi hope u get txtjourney hasnt gdnow 50 min late think
0,like love arrange
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
0,supposed wake gt
0,oic saw tot din c found group liao
0,sorry ill call later
0,hey hey werethe monkeespeople say monkeyaround! howdy gorgeous howu doin? foundurself jobyet sausage?love jen xxx
0,sorry battery died come im getting gram wheres place?
0,well done blimey exercise yeah kinda remember wot hmm
0,wont get concentration dear know mind everything
0,lol made plan new years?
0,10 min later k
0,hank lotsly!
0,thanks hope good day today
0,kkwhat detail want transfer?acc enough?
0,ok tell stay yeah tough optimistic thing improve month
1,loan purpose £500 £75000 homeowner tenant welcome previously refused? still help call free 0800 1956669 text back help
0,si si think ill go make oreo truffle
0,look amy ure beautiful intelligent woman like u lot know u dont like like dont worry
0,hope thats result consistently intelligent kind start asking practicum link keep ear open best ttyl
0,120 call cost guess isnt bad miss ya need ya want ya love ya
0,going thru different feelingwavering decision coping individualtime heal everything believe
0,u go? phone gonna die stay
0,great never better day give even reason thank god
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer end 26th july tc apply optout available
0,sorry ill call later ok bye
0,ok way railway
0,great princess! love giving receiving oral doggy style fave position you? enjoy making love ltgt time per night
0,dont put stuff road keep getting slippery there?
0,going ride bike?
0,yup need ill jus wait 4 e rain 2 stop
0,many company tell language
1,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award! call 09061743806 landline tc sae box326 cw25wx 150ppm
0,long since screamed princess?
0,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got removed bank differ charge also differbe sure trust 9ja person sending account detail co
1,want 2 get laid tonight? want real dogging location sent direct 2 ur mob? join uk largest dogging network txting moan 69888nyt ec2a 31pmsg150p
0,nice line said broken heart plz dont cum 1 time infront wise trust u good 9t
0,ok im gonna head usf like fifteen minute
0,love aathilove u lot
0,tension ah?what machi?any problem?
0,k pick another 8th youre done?
0,whenre guy getting back? g said thinking staying mcr
0,almost see u sec
0,yo carlos friend already asking working weekend?
0,watching tv lor
0,thank baby! cant wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win really 1 side long time
1,free message activate 500 free text message replying message word free term condition visit www07781482378com
0,dear reached railway happen
0,depends quality want type sent boye faded glory 6 want ralphs maybe 2
0,think ive fixed send test message?
0,sorry man account dry would want could trade back half could buy shit credit card
1,congrats! 1 year special cinema pas 2 call 09061209465 now! c suprman v matrix3 starwars3 etc 4 free! bx420ip45we 150pm dont miss out!
0,sorryin meeting ill call later
0,class ltgt reunion?
0,free now?can call now?
0,got meh when?
0,nope think go monday sorry replied late
0,told accenture confirm true
0,kate jackson rec center 7ish right?
0,dear reache room
0,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose
0,come out?
0,check nuerologist
0,lolnice went fish water?
1,error!
0,waiting e car dat bored wat co wait outside got nothing 2 home stuff watch tv wat
0,maybe westshore hyde park village place near house?
0,know hows anthony bringing money ive school fee pay rent stuff like thats need help friend need
0,whats significance?
0,opinion me? 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply
0,8 latest g still scrounge ammo want give new ak try
0,prabhaim sorydarealyfrm heart im sory
0,lol ok forgiven
0,nojst change tat
1,guaranteed latest nokia phone 40gb ipod mp3 player £500 prize! txt word collect 83355! ibhltd ldnw15h 150pmtmsgrcvd18
0,sno competition
1,boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt
1,credit topped httpwwwbubbletextcom renewal pin tgxxrz
0,way transport less problematic sat night way u want ask n join bday feel free need know definite no booking fri
0,usually person unconscious thats child adult may behave abnormally ill call
0,thats ebay might less elsewhere
0,shall come get pickle
0,gonna go get taco
0,thats rude campus?
1,urgent! mobile awarded £2000 bonus caller prize 020903! 2nd attempt contact you! call 08718729755 box95qu
0,hi wont b ard 4 christmas enjoy n merry xmas
1,today offer! claim ur £150 worth discount vouchers! text yes 85023 now! savamob member offer mobile! c 08717898035 £300 sub 16 unsub reply x
0,yes! pretty lady like single?
1,recieve tone within next 24hrs term condition please see channel u teletext pg 750
0,jay say youre doublefaggot
1,private! 2003 account statement 07815296484 show 800 unredeemed sim point call 08718738001 identifier code 41782 expires 181104
0,todaysundaysunday holidayso work
0,gudnitetcpractice going
0,ill late
0,ive called hoping l8r malaria know miss guy miss ban big pls give love especially great day
0,good afternoon love! go day ? hope maybe got lead job think boytoy send passionate kiss across sea
0,probably gonna see later tonight lt
0,maybe fat finger press button doesnt know
0,ummmmmaah many many happy return day dear sweet heart happy birthday dear
0,tirupur da started office call
1,wwwapplausestorecom monthlysubscription50pmsg max6month tcsc web age16 2stop txt stop
0,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married
0,going college pa else ill come self pa
0,4 oclock mine bash flat plan
0,girl stay bed girl doesnt need recovery time id rather pas fun cooped bed
0,special there?
0,know need get hotel got invitation apologise cali sweet come english bloke weddin
0,sorry took long omw
0,wait ltgt min
0,ok give 5 minute think see btw youre alibi cutting hair whole time
0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
0,hurry ive weeddeficient like three day
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,ok every night take warm bath drink cup milk youll see work magic still need loose weight know
0,ill look frying pan case cheap book perhaps thats silly frying pan isnt likely book
0,well uv cause mutation sunscreen like essential thesedays
0,lunchyou online?why?
0,know friend already told
0,hi princess! thank pic pretty you?
0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ahgee
0,hi msg meim office
0,thanx 4 e brownie v nice
0,geeeee love much barely stand
1,gent! trying contact last weekend draw show £1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,fuck babe miss already know ? cant let send money towards net ? need want crave
0,ill call u 2mrw ninish address icky american freek wont stop callin 2 bad jen k eh?
0,oooh bed ridden ey? thinking of?
0,anyways go gym whatever love smile hope ok good day babe miss much already
0,love it! daddy make scream pleasure! going slap as dick!
0,wot u wanna missy?
0,yar lor wait 4 mum 2 finish sch lunch lor whole morning stay home clean room room quite clean hee
0,know lab goggles went
0,open door?
0,waiting call
0,nope waiting sch 4 daddy
1,?1000 cash ?2000 prize! claim call09050000327
0,im tired arguing week week want ill
0,wait 4 sch finish ard 5
1,mobile number £5000 claim call u back ring claim hot line 09050005321
0,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite
0,huh early dinner outside izzit?
0,ok anyway need change said
1,tried contact reply offer 750 min 150 textand new video phone call 08002988890 reply free delivery tomorrow
0,exwife able kid want kid one day?
